variable,base,max,min,variation_min_vs_base_pct,variation_max_vs_base_pct,importance_abs_pct,rank
sensor_count,852.03,1065.97,745.07,-12.55354858397004,25.109444503127833,25.109444503127833,1
cloud_vcpu,852.03,1030.23,762.94,-10.456204593734954,20.914756522657658,20.914756522657658,2
cloud_daily_usage_h,852.03,1020.23,767.94,-9.86937079680292,19.741088928793594,19.741088928793594,3
edge_count,852.03,936.84,767.23,-9.952701195967272,9.953874863561149,9.953874863561149,4
cloud_storage_gb,852.03,859.51,846.06,-0.7006795535368505,0.8779033602103234,0.8779033602103234,5
twin_daily_processed_mb,852.03,855.32,850.39,-0.19248148539370522,0.38613663838128676,0.38613663838128676,6
sensor_transmission_interval_min,852.03,852.02,852.08,0.005868337969328335,-0.0011736675938629985,0.005868337969328335,7
